,Chemical_forumla,Prob_1,Prob_2,product,electro_1,electro_2,Z1,Z2,clasification TMDB,abs_delta_E,Z_tot,abs_dZ
0,Ge Te,0.990528653,0.987030395,0.977681887,2.01,2.1,32,52,TV,0.0900000000000003,84,20
1,Sn Te,0.984819146,0.987030395,0.972046431,1.96,2.1,50,52,TI,0.14000000000000012,102,2
2,Pb Te,0.963620945,0.987030395,0.951123162,1.8,2.1,82,52,TI,0.30000000000000004,134,30
3,Pb Se,0.963620945,0.993913105,0.957755485,1.8,2.55,82,34,TI,0.7499999999999998,116,48
4,Pb S,0.963620945,0.991672258,0.955596158,1.8,2.58,82,16,TI,0.78,98,66
5,Ag Sb Te2,0.994994621,0.987030395,0.982089934,2.05,2.1,51,52,TI,0.050000000000000266,103,1
6,Sn S,0.984819146,0.991672258,0.976617826,1.96,2.58,50,16,TI,0.6200000000000001,66,34
7,Ge Se,0.990528653,0.993913105,0.984499408,2.01,2.55,32,34,TV,0.54,66,2
8,Ba Te,0.010444599,0.987030395,0.010309137,0.89,2.1,56,52,TV,1.21,108,4
9,Sr S,0.013065665,0.991672258,0.012956857,0.95,2.58,38,16,TV,1.6300000000000001,54,22
10,Ca Te,0.007252934,0.987030395,0.007158866,1.0,2.1,20,52,TV,1.1,72,32
11,Na Cl,0.002646267,0.034705569,9.18402e-05,0.93,3.16,11,17,TV,2.23,28,6
12,Cs F,0.027602057,0.001622563,4.47861e-05,0.79,3.98,55,9,TV,3.19,64,46
13,Na F,0.002646267,0.001622563,4.29374e-06,0.93,3.98,11,9,TV,3.05,20,2
14,Ca O,0.007252934,0.001442146,1.04598e-05,1.0,3.44,20,8,TV,2.44,28,12
15,Mg O,0.004482648,0.001442146,6.46463e-06,1.31,3.44,12,8,TV,2.13,20,4
16,Ag Cl,0.059942817,0.034705569,0.00208035,1.93,3.16,47,17,TV,1.2300000000000002,64,30
17,Mg S,0.004482648,0.991672258,0.004445317,1.31,2.58,12,16,TV,1.27,28,4
18,Ag Br,0.059942817,0.15337646,0.009193817,1.93,2.96,47,35,TV,1.03,82,12
19,Ag I,0.059942817,0.076030535,0.004557484,1.93,2.66,47,53,TV,0.7300000000000002,100,6
20,Sr O,0.013065665,0.001442146,1.88426e-05,0.95,3.44,38,8,TV,2.49,46,30
21,K Cl,0.011709124,0.034705569,0.000406372,0.82,3.16,19,17,SM,2.3400000000000003,36,2
22,In Te,0.934283497,0.987030395,0.922166209,1.78,2.1,49,52,TV,0.32000000000000006,101,3
23,Rb Br,0.023565019,0.15337646,0.003614319,0.82,2.96,37,35,TV,2.14,72,2
24,Ba O,0.010444599,0.001442146,1.50626e-05,0.89,3.44,56,8,TV,2.55,64,48
25,Be O,0.003219477,0.001442146,4.64296e-06,1.57,3.44,4,8,TV,1.8699999999999999,12,4
26,Cd O,0.116003145,0.001442146,0.000167293,1.69,3.44,48,8,SM,1.75,56,40
27,Al O,0.002986713,0.001442146,4.30728e-06,1.61,3.44,13,8,TV,1.8299999999999998,21,5
28,Zn O,0.001234361,0.001442146,1.78013e-06,1.65,3.44,30,8,TV,1.79,38,22
29,Bi Se,0.976879466,0.993913105,0.970933303,1.9,2.55,83,34,SM,0.6499999999999999,117,49
30,Ba S,0.010444599,0.991672258,0.010357619,0.89,2.58,56,16,SM,1.69,72,40
31,Ca S,0.007252934,0.991672258,0.007192534,1.0,2.58,20,16,SM,1.58,36,4
32,Sr Se,0.013065665,0.993913105,0.012986136,0.95,2.55,38,34,TV,1.5999999999999999,72,4
33,Zn Te,0.001234361,0.987030395,0.001218351,1.65,2.1,30,52,TV,0.4500000000000002,82,22
34,Hg Te,0.986489107,0.987030395,0.973694733,1.9,2.1,80,52,TI,0.20000000000000018,132,28
35,Ca Se,0.007252934,0.993913105,0.007208786,1.0,2.55,20,34,TV,1.5499999999999998,54,14
36,Ba Se,0.010444599,0.993913105,0.010381024,0.89,2.55,56,34,TV,1.6599999999999997,90,22
37,In As,0.934283497,0.985229126,0.920483313,1.78,2.01,49,33,TV,0.22999999999999976,82,16
38,Sn As,0.984819146,0.985229126,0.970272507,1.96,2.01,50,33,TV,0.04999999999999982,83,17
39,Cd S,0.116003145,0.991672258,0.115037101,1.69,2.58,48,16,TV,0.8900000000000001,64,32
40,Hg S,0.986489107,0.991672258,0.97827388,1.9,2.58,80,16,TV,0.6800000000000002,96,64
41,Cd Te,0.116003145,0.987030395,0.114498631,1.69,2.1,48,52,TV,0.41000000000000014,100,4
42,In Sb,0.934283497,0.994994621,0.929607054,1.78,2.05,49,51,TV,0.2699999999999998,100,2
43,Bi Te,0.976879466,0.987030395,0.964209726,1.9,2.1,83,52,TV,0.20000000000000018,135,31
44,Sb Sn,0.994994621,0.984819146,0.979889753,2.05,1.96,51,50,TV,0.08999999999999986,101,1
45,Sn Se,0.984819146,0.993913105,0.978824655,1.96,2.55,50,34,TV,0.5899999999999999,84,16
46,Cd Se,0.116003145,0.993913105,0.115297046,1.69,2.55,48,34,TV,0.8599999999999999,82,14
47,In P,0.934283497,0.993779772,0.928472041,1.78,2.19,49,15,TV,0.4099999999999999,64,34
48,Be Se,0.003219477,0.993913105,0.00319988,1.57,2.55,4,34,TV,0.9799999999999998,38,30
49,Mg Se,0.004482648,0.993913105,0.004455362,1.31,2.55,12,34,TV,1.2399999999999998,46,22
50,Sr Te,0.013065665,0.987030395,0.012896208,0.95,2.1,38,52,TV,1.1500000000000001,90,14
51,Hg Se,0.986489107,0.993913105,0.980484451,1.9,2.55,80,34,TV,0.6499999999999999,114,46
52,Sn P,0.984819146,0.993779772,0.978693347,1.96,2.19,50,15,SM,0.22999999999999998,65,35
53,Cu Cl,0.001371916,0.034705569,4.76131e-05,1.9,3.16,29,17,TV,1.2600000000000002,46,12
54,Cu Br,0.001371916,0.15337646,0.00021042,1.9,2.96,29,35,TV,1.06,64,6
55,Al N,0.002986713,0.007235823,2.16113e-05,1.61,3.04,13,7,TV,1.43,20,6
56,Ga N,0.278074468,0.007235823,0.002012098,1.81,3.04,31,7,TV,1.23,38,24
57,In N,0.934283497,0.007235823,0.00676031,1.78,3.04,49,7,TV,1.26,56,42
58,K H,0.011709124,0.002958832,3.46453e-05,0.82,2.2,19,1,TV,1.3800000000000003,20,18
59,Li H,0.002306393,0.002958832,6.82423e-06,0.98,2.2,3,1,TV,1.2200000000000002,4,2
60,Na H,0.002646267,0.002958832,7.82986e-06,0.93,2.2,11,1,TV,1.27,12,10
61,Ag F,0.059942817,0.001622563,9.7261e-05,1.93,3.98,47,9,TV,2.05,56,38
62,Cs H,0.027602057,0.002958832,8.16698e-05,0.79,2.2,55,1,TV,1.4100000000000001,56,54
63,K Br,0.011709124,0.15337646,0.001795904,0.82,2.96,19,35,TV,2.14,54,16
64,Na Br,0.002646267,0.15337646,0.000405875,0.93,2.96,11,35,TV,2.03,46,24
65,Cs Br,0.027602057,0.15337646,0.004233506,0.79,2.96,55,35,TV,2.17,90,20
66,Cs I,0.027602057,0.076030535,0.002098599,0.79,2.66,55,53,TV,1.87,108,2
67,Tl Cl,0.964434334,0.034705569,0.033471243,1.8,3.16,81,17,TV,1.36,98,64
68,Rb H,0.023565019,0.002958832,6.97249e-05,0.82,2.2,37,1,TV,1.3800000000000003,38,36
69,Tl Br,0.964434334,0.15337646,0.147921524,1.8,2.96,81,35,TV,1.16,116,46
70,Rb Cl,0.023565019,0.034705569,0.000817837,0.82,3.16,37,17,TV,2.3400000000000003,54,20
71,K I,0.011709124,0.076030535,0.000890251,0.82,2.66,19,53,TV,1.8400000000000003,72,34
72,Rb I,0.023565019,0.076030535,0.001791661,0.82,2.66,37,53,TV,1.8400000000000003,90,16
73,Na I,0.002646267,0.076030535,0.000201197,0.93,2.66,11,53,TV,1.73,64,42
74,K F,0.011709124,0.001622563,1.89988e-05,0.82,3.98,19,9,TV,3.16,28,10
75,Rb F,0.02356502,0.001622563,3.82357e-05,0.82,3.98,37,9,TV,3.16,46,28
76,Tl I,0.964434334,0.076030535,0.073326458,1.8,2.66,81,53,TV,0.8600000000000001,134,28
77,Cs Cl,0.027602057,0.034705569,0.000957945,0.79,3.16,55,17,TV,2.37,72,38
78,Li F,0.002306393,0.001622563,3.74227e-06,0.98,3.98,3,9,TV,3.0,12,6
79,Li Cl,0.002306393,0.034705569,8.00447e-05,0.98,3.16,3,17,TV,2.18,20,14
80,Li Br,0.002306393,0.15337646,0.000353746,0.98,2.96,3,35,TV,1.98,38,32
