Chemical_forumla,Prob_1,Prob_2,product,electro_1,electro_2,Z1,Z2
Ge Te,0.990528653,0.987030395,0.977681887,2.01,2.1,32,52
Sn Te,0.984819146,0.987030395,0.972046431,1.96,2.1,50,52
Pb Te,0.963620945,0.987030395,0.951123162,1.8,2.1,82,52
Pb Se,0.963620945,0.993913105,0.957755485,1.8,2.55,82,34
Pb S,0.963620945,0.991672258,0.955596158,1.8,2.58,82,16
Ag Sb Te2,0.994994621,0.987030395,0.982089934,2.05,2.1,51,52
Ag Bi Se2,0.976879466,0.993913105,0.970933303,1.9,2.55,83,34
Sn S,0.984819146,0.991672258,0.976617826,1.96,2.58,50,16
Ge Se,0.990528653,0.993913105,0.984499408,2.01,2.55,32,34
Ba Te,0.010444599,0.987030395,0.010309137,0.89,2.1,56,52
Sr S,0.013065665,0.991672258,0.012956857,0.95,2.58,38,16
Ca Te,0.007252934,0.987030395,0.007158866,1,2.1,20,52
Na Cl,0.002646267,0.034705569,9.18402E-05,0.93,3.16,11,17
Cs F,0.027602057,0.001622563,4.47861E-05,0.79,3.98,55,9
Na F,0.002646267,0.001622563,4.29374E-06,0.93,3.98,11,9
Ca O,0.007252934,0.001442146,1.04598E-05,1,3.44,20,8
Mg O,0.004482648,0.001442146,6.46463E-06,1.31,3.44,12,8
Ag Cl,0.059942817,0.034705569,0.00208035,1.93,3.16,47,17
Mg S,0.004482648,0.991672258,0.004445317,1.31,2.58,12,16
Ag Br,0.059942817,0.15337646,0.009193817,1.93,2.96,47,35
Ag I,0.059942817,0.076030535,0.004557484,1.93,2.66,47,53
Sr O,0.013065665,0.001442146,1.88426E-05,0.95,3.44,38,8
K Cl,0.011709124,0.034705569,0.000406372,0.82,3.16,19,17
In Te,0.934283497,0.987030395,0.922166209,1.78,2.1,49,52
Rb Br,0.023565019,0.15337646,0.003614319,0.82,2.96,37,35
Ba O,0.010444599,0.001442146,1.50626E-05,0.89,3.44,56,8
Be O,0.003219477,0.001442146,4.64296E-06,1.57,3.44,4,8
Cd O,0.116003145,0.001442146,0.000167293,1.69,3.44,48,8
Al O,0.002986713,0.001442146,4.30728E-06,1.61,3.44,13,8
Zn O,0.001234361,0.001442146,1.78013E-06,1.65,3.44,30,8
Bi Se,0.976879466,0.993913105,0.970933303,1.9,2.55,83,34
Ba S,0.010444599,0.991672258,0.010357619,0.89,2.58,56,16
Ca S,0.007252934,0.991672258,0.007192534,1,2.58,20,16
Mg S,0.004482648,0.991672258,0.004445317,1.31,2.58,12,16
Sr Se,0.013065665,0.993913105,0.012986136,0.95,2.55,38,34
Zn Te,0.001234361,0.987030395,0.001218351,1.65,2.1,30,52
Hg Te,0.986489107,0.987030395,0.973694733,1.9,2.1,80,52
Ca Se,0.007252934,0.993913105,0.007208786,1,2.55,20,34
Ba Se,0.010444599,0.993913105,0.010381024,0.89,2.55,56,34
In As,0.934283497,0.985229126,0.920483313,1.78,2.01,49,33
Sn As,0.984819146,0.985229126,0.970272507,1.96,2.01,50,33
Cd S,0.116003145,0.991672258,0.115037101,1.69,2.58,48,16
Hg S,0.986489107,0.991672258,0.97827388,1.9,2.58,80,16
Cd Te,0.116003145,0.987030395,0.114498631,1.69,2.1,48,52
In Sb,0.934283497,0.994994621,0.929607054,1.78,2.05,49,51
Bi Te,0.976879466,0.987030395,0.964209726,1.9,2.1,83,52
Sb Sn,0.994994621,0.984819146,0.979889753,2.05,1.96,51,50
Sn Se,0.984819146,0.993913105,0.978824655,1.96,2.55,50,34
Cd Se,0.116003145,0.993913105,0.115297046,1.69,2.55,48,34
In P,0.934283497,0.993779772,0.928472041,1.78,2.19,49,15
Be Se,0.003219477,0.993913105,0.00319988,1.57,2.55,4,34
Mg Se,0.004482648,0.993913105,0.004455362,1.31,2.55,12,34
Sr Te,0.013065665,0.987030395,0.012896208,0.95,2.1,38,52
Hg Se,0.986489107,0.993913105,0.980484451,1.9,2.55,80,34
Sn P,0.984819146,0.993779772,0.978693347,1.96,2.19,50,15
Cu Cl,0.001371916,0.034705569,4.76131E-05,1.9,3.16,29,17
Cu Br,0.001371916,0.15337646,0.00021042,1.9,2.96,29,35
Al N,0.002986713,0.007235823,2.16113E-05,1.61,3.04,13,7
Ga N,0.278074468,0.007235823,0.002012098,1.81,3.04,31,7
In N,0.934283497,0.007235823,0.00676031,1.78,3.04,49,7
K H,0.011709124,0.002958832,3.46453E-05,0.82,2.2,19,1
Li H,0.002306393,0.002958832,6.82423E-06,0.98,2.2,3,1
Na H,0.002646267,0.002958832,7.82986E-06,0.93,2.2,11,1
Ag F,0.059942817,0.001622563,9.7261E-05,1.93,3.98,47,9
Cs H,0.027602057,0.002958832,8.16698E-05,0.79,2.2,55,1
K Br,0.011709124,0.15337646,0.001795904,0.82,2.96,19,35
Na Br,0.002646267,0.15337646,0.000405875,0.93,2.96,11,35
Cs Br,0.027602057,0.15337646,0.004233506,0.79,2.96,55,35
Cs I,0.027602057,0.076030535,0.002098599,0.79,2.66,55,53
Tl Cl,0.964434334,0.034705569,0.033471243,1.8,3.16,81,17
Rb H,0.023565019,0.002958832,6.97249E-05,0.82,2.2,37,1
Tl Br,0.964434334,0.15337646,0.147921524,1.8,2.96,81,35
Rb Cl,0.023565019,0.034705569,0.000817837,0.82,3.16,37,17
K I,0.011709124,0.076030535,0.000890251,0.82,2.66,19,53
