Chemical_forumla,clasification TMDB
Ge Te,TV
Sn Te,TI
Pb Te,TI
Pb Se,TI
Pb S,TI
Ag Sb Te2,TI
Sn S,TI
Ge Se,TV
Ba Te,TV
Sr S,TV
Ca Te,TV
Na Cl,TV
Cs F,TV
Na F,TV
Ca O,TV
Mg O,TV
Ag Cl,TV
Zr N,TV
Mg S,TV
Ni O,TV
Co O,TV
Ti O,SM
Ag Br,TV
Sc S,TV
Ag I,TV
Sr O,TV
K Cl,SM
In Te,TV
Cr N,SM
V C,TV
Rb Br,TV
Ba O,TV
Be O,TV
Mn O,SM
Cd O,SM
V O,TV
Al O,TV
Fe O,SM
Nb O,SM
Zn O,TV
Pt O,TV
Cr O,TV
Bi Se,SM
Ba S,SM
Ca S,SM
Mn S,TV
Sc As,TV
Sc Sb,TV
Mn Se,TV
Sr Se,TV
Zn Te,trivial/SM
Hg Te,SM
Ca Se,TV
Y Sb,TV
Y Te,SM
Ba Se,TV
In As,TV
Sn As,TV
Y As,TV
Zr As,TV
Sc P,TV
Y Se,TV
Cd S,TV
Zr S,TV
Hg S,TV
Y S,TV
Cd Te,TV
Zr B,TV
In Sb,TV
Sc Se,TV
Bi Te,TV
Sb Sn,TV
Sn Se,TV
Cd Se,TV
In P,TV
Be Se,TV
Mg Se,TV
Sr Te,TV
Hg Se,TV
Sc Bi,TV
Hf B,TV
Ta O,TV
Mn Te,SM
Zr P,SM
Y P,TV
Zr O,SM
Re C,SM
Pd O,SM
Sn P,SM
Ra S,TV
Ra Se,TV
Cu Cl,TV
Cu Br,TV
Nb C,SM
Hf C,TI
Zr C,SM
Ta C,SM
W C,TI
Cr C,SM
Tl C,SM
Sc C,SM
Nb N,SM
Y Bi,TI
V N,SM
Ti N,SM
Sc N,TV
Y N,TV
Al N,TV
Ga N,TV
In N,TV
Ta N,SM
Hf N,SM
Mo C,SM
W N,SM
Ru H,SM
K H,TV
Li H,TV
Na H,TV
Ag F,TV
Cs H,TV
K Br,TV
Na Br,TV
Cs Br,TV
Cs I,TV
Tl Cl,TV
Rb H,TV
Tl Br,TV
Rb Cl,TV
K I,TV
Rb I,TV
Na I,TV
K F,TV
Rb F,TV
Tl I,TV
Ni H,SM
Rh H,SM
Cr H,SM
Pd H,SM
Cs Cl,TV
Li F,TV
Li Cl,TV
Li Br,TV
Li I,TV
Cu O,SM
Y  Po,SM
U O,SM
Pa O,SM
Th Se,SM
La Se,SM
Pr Se,SM
Nd Se,SM
Eu Se,SM
Gd Se,SM
La S,SM
La Te,SM
Ce S,SM
Ce Se,SM
Ce Te,SM
Pr S,SM
Pr Te,SM
Nd S,SM
Nd Te,SM
Eu S,SM
Th S,SM
U S,SM
Pu S,TI
Np O,SM
Pu O,SM
Am O,SM
Nd Bi,SM
Pu N,SM
Pu C,SM
Eu Te,SM
Yb Te,SM
Yb Se,SM
Ho P,SM
Ho As,SM
Ho Sb,SM
Ho Bi,SM
Ho S ,SM
Ho Se,SM
Ho Te,SM
Tb P,SM
Tb As,SM
Tb Sb,SM
Tb Bi,SM
Tb Sb,SM
Tb Se,SM
Tb Te,SM
Gd As,SM
Gd Sb,SM
Dy As,SM
Dy Sb,SM
Dy Te,SM
Er As,SM
Er Sb,SM
Er Te,SM
Tm As,SM
Tm Sb,SM
Tm Te,SM
Yb As,SM
Yb Sb,SM
Pu B,SM
Am As,TI
Am N,TI
Am P,TI
Am S,SM
Am Sb,TI
Ce As,SM
Np As,SM
Pa As,TI
Pu As,SM
Tb As,SM
Te As,SM
Th As,SM
U As,SM
Eu Po,SM
Gd S,SM
Gd Te,SM
Hg Po,SM
Ho Po,SM
Po Pb,TI
Po Pm,SM
Sr Po,TV
Tb Po,SM
Tm Po,SM
Yb Po,SM
Tm S,SM
La As,TV
Dy N,SM
Er N,SM
Er S,SM
Np Bi,SM
Np Se,SM
Np Te,SM
Pu Bi,SM
Am Te,SM
Pa C,SM
Ce Sb,SM
Nd Sb,SM
La N,TV
Pr Sb,TV
Pr P,TV
Ce N,SM
Th P,SM
Th Sb,SM
Y Po,SM
Nd N,SM
Lu N,TV
Pr As,TV
Ce O,SM
Tb S,SM
Np P,SM
Np S,SM
Np Sb,SM
Th N,SM
Th Ge,TI
La P,TV
Gd N,SM
Tb N,TV
Ho N,SM
Yb N,SM
La Sb,TV
Lu P,TV
Lu S,SM
Lu Sb,TV
Lu Se,SM
Lu Te,SM
Pr N,TV
Ce P,SM
Yb S,SM
Tm Se,SM
U Se,SM
U Te,TI
Dy P,SM
Dy S,SM
Dy Se,SM
Er P,SM
Er Se,SM
Eu P,TV
Gd P,SM
Pu Sb,SM
Pu Te,TI
Tm N,TI
Yb P,SM
Am Bi,TI
Ba Po,TV
Ce Bi,SM
Dy Bi,SM
Er Bi,SM
Gd Bi,SM
La Bi,SM
Lu Bi,SM
Pr Bi,SM
Tm Bi,SM
U Bi,SM
Ca Po,TV
U Sb,SM
Ce C,SM
Np C,SM
Pa N,TI
Nd P,SM
Pu P,SM
Pu Se,TI
Pr O,SM
Yb O,SM
Tm P,SM
Nd As,SM
U C,SM
Eu N,TV
Np N,SM
U N,SM
Th C,TI
